yyyy,mm,tmax,tmin,af,rain,sun,date
,,,,,,,
1948.0,1.0,8.9,3.3,,85.0,,1948-01-01
1948.0,2.0,7.9,2.2,,26.0,,1948-02-01
1948.0,3.0,14.2,3.8,,14.0,,1948-03-01
1948.0,4.0,15.4,5.1,,35.0,,1948-04-01
1948.0,5.0,18.1,6.9,,57.0,,1948-05-01
1948.0,6.0,19.1,10.3,,67.0,,1948-06-01
1948.0,7.0,21.7,12.0,,21.0,,1948-07-01
1948.0,8.0,20.8,11.7,,67.0,,1948-08-01
1948.0,9.0,19.6,10.2,,35.0,,1948-09-01
1948.0,10.0,14.9,6.0,,50.0,,1948-10-01
1948.0,11.0,10.8,4.6,,44.0,,1948-11-01
1948.0,12.0,8.8,3.8,,63.0,,1948-12-01
1949.0,1.0,8.5,1.8,9.0,23.0,,1949-01-01
1949.0,2.0,10.4,0.6,11.0,27.0,,1949-02-01
1949.0,3.0,9.3,1.2,11.0,26.1,,1949-03-01
1949.0,4.0,16.2,6.0,1.0,34.2,,1949-04-01
1949.0,5.0,17.1,6.8,0.0,56.9,,1949-05-01
1949.0,6.0,22.0,10.5,0.0,9.0,,1949-06-01
1949.0,7.0,25.1,12.9,0.0,46.5,,1949-07-01
1949.0,8.0,23.9,12.5,0.0,26.3,,1949-08-01
1949.0,9.0,22.8,13.3,0.0,23.3,,1949-09-01
1949.0,10.0,17.0,8.6,3.0,139.6,,1949-10-01
1949.0,11.0,10.2,2.9,7.0,53.4,,1949-11-01
1949.0,12.0,9.2,2.9,6.0,33.0,,1949-12-01
1950.0,1.0,7.1,1.7,11.0,16.8,,1950-01-01
1950.0,2.0,9.9,2.4,7.0,82.2,,1950-02-01
1950.0,3.0,12.3,3.5,4.0,17.4,,1950-03-01
1950.0,4.0,12.9,4.2,1.0,54.8,,1950-04-01
1950.0,5.0,17.2,7.6,0.0,41.8,,1950-05-01
1950.0,6.0,23.6,12.3,0.0,44.6,,1950-06-01
